# X	Y	Z
107.648323	9.447998	51.064190
107.648323	9.447998	51.064190
109.328033	-5.438741	51.883156
106.336143	20.312256	50.479042
109.047127	-6.150369	51.780354
-7.281062	16.181946	50.465996
107.291695	5.805882	51.023872
-6.220327	-8.123760	50.370945
-6.220327	-8.123760	50.370945
110.398338	-16.767963	52.515285
-5.524378	1.838995	49.937519
-5.365368	-9.312289	50.086613
-5.268236	9.862537	50.321312
-5.227445	-1.105600	50.239380
-5.227445	-1.105600	50.239380
-5.199113	12.791076	50.257370
-5.187677	14.541492	50.324413
-5.124458	2.245610	50.441269
-5.036495	-7.523798	50.344318
-4.886656	-0.833993	50.099808
-4.825682	12.002091	50.506084
-4.825682	12.002091	50.506084
-4.757626	7.464619	50.081974
-4.777961	15.906039	50.433292
-4.761227	14.538927	50.301250
-4.761227	14.538927	50.301250
-4.749308	13.706390	50.391949
-4.749308	13.706390	50.391949
-4.741935	0.644720	50.319103
-4.741935	0.644720	50.319103
-4.731559	2.415804	50.290462
-4.731559	2.415804	50.290462
-4.685637	18.099373	50.259518
-4.668167	12.825736	50.163532
-4.684242	4.421813	50.353840
-4.685521	15.395524	50.390072
-4.616571	5.604444	50.307854
-4.616571	5.604444	50.307854
-4.599294	8.961588	50.342476
-4.570143	8.378507	50.252747
-4.570143	8.378507	50.252747
-4.569085	10.514890	50.317841
-4.569085	10.514890	50.317841
-4.473783	-1.121700	50.322834
-4.458587	14.111110	50.328201
-4.451130	0.254458	50.306721
-4.435856	6.062340	50.468258
-4.400846	14.934955	50.240089
-4.400846	14.934955	50.240089
-4.362999	17.130993	49.840538
-4.402803	16.263952	50.314762
-4.402803	16.263952	50.314762
-4.184151	12.778930	50.036221
-4.172276	13.674984	50.328590
-4.156436	10.917798	50.307339
-4.114505	11.805352	50.154900
-4.114505	11.805352	50.154900
-4.122779	10.020764	50.267742
-4.122779	10.020764	50.267742
-4.121480	14.507114	50.255013
-4.085134	10.644382	50.316635
-4.060935	17.040009	50.177734
-4.060935	17.040009	50.177734
-3.432956	17.484287	50.187328
-3.414169	21.279171	50.151394
-3.356409	20.135996	50.091957
-2.985912	19.086258	50.107132
-2.923589	18.278353	50.098282
-2.781595	20.276201	49.971550
105.934273	14.570739	50.399586
109.174980	-4.842806	51.956852
109.174980	-4.842806	51.956852
-2.023303	14.607060	50.119297
-1.966895	11.703448	50.314251
-1.852149	20.041605	49.900993
-1.852149	20.041605	49.900993
-1.813789	15.226130	51.308224
-1.776699	12.017887	50.271549
-1.579130	11.380487	50.199623
-1.562011	10.890194	51.586674
107.256332	10.088691	51.052483
-0.912731	9.148241	50.286774
-0.850107	15.995680	50.067974
-0.646764	-12.498514	52.689903
-0.380392	14.485877	49.936668
105.729057	19.627932	50.334328
0.303437	18.172256	49.951725
0.513241	17.511047	49.908108
0.593073	8.949409	49.982529
0.793658	17.217384	50.059307
1.119895	12.187724	50.309990
1.256917	18.780411	49.928455
106.875626	14.689574	50.897770
1.350141	16.401331	50.012623
1.355986	17.851635	49.955677
1.574754	18.285505	49.908581
1.840743	-11.050255	50.723774
1.837898	9.100334	50.321804
1.900362	11.890878	50.062366
1.898240	17.492304	49.869133
1.898240	17.492304	49.869133
2.009110	18.626562	50.183517
2.009110	18.626562	50.183517
2.315382	8.587284	50.196815
2.315382	8.587284	50.196815
2.833751	11.498838	50.255859
2.883676	10.399128	50.349361
2.924228	-10.969749	50.905930
2.995772	11.288942	50.362320
108.644096	-5.930686	51.748554
